,label,category,stance,parents,similars,label_name,keywords,paraphrase,summary,full_text,groups,rating,reaction_to_argument
0,Z.GP1,Z,Pro,,,bessere Entscheidungen,,die Entscheidungsqualität der KI /ist besser,die Entscheidungsqualität der KI ist besser,KI hat bessere Entscheidungsqualität,,,
1,Z.GP2,Z,Pro,,,kostengünstiger,,die KI /ist kostengünstiger,die KI ist kostengünstiger,KI ist kostengünstiger,,,
2,Z.GP3,Z,Pro,,,bessere Akzeptanz,,die KI /verbessert die Akzeptanz der Schiedsrichterentscheidungen,die KI verbessert die Akzeptanz der Schiedsrichterentscheidungen,KI verbessert die Akzeptanz von Schiedsrichterentscheidungen,,,
3,Z.GP4,Z,Pro,,,gesellschaftliche Aspekte,,KI /bewirkt Verbesserungen bei gesellschaftlichen Mängeln,KI bewirkt Verbesserungen bei gesellschaftlichen Mängeln,Verbesserung gesellschaftlicher Mängel,,,
4,Z.GK1,Z,Con,,,schlechtere Entscheidungen,,KI /trifft schlechtere Entscheidungen als Menschen,KI trifft schlechtere Entscheidungen als Menschen,KI liefert schlechtere Entscheidungen als Menschen,,,
5,Z.GK2,Z,Con,,,schlechtere Verfügbarkeit,,KI /ist schlechter verfügbar als menschliche Schiedsrichter:innen,KI ist schlechter verfügbar als menschliche Schiedsrichter:innen,KI ist schlechter verfügbar als menschliche Schiedsrichter:innen,,,
6,Z.GK3,Z,Con,,,schlechtere Akzeptanz,,KI /wird als eigenständiger Schiedsrichter nicht akzeptiert,KI wird als eigenständiger Schiedsrichter nicht akzeptiert,KI wird als Schiedsrichter nicht akzeptiert werden.,,,
7,Z.GK4,Z,Con,,,technische Probleme,,es /gibt zu viele technische Probleme,es gibt zu viele technische Probleme,Es gibt zu viele technische Probleme.,,,
8,Z.GK5,Z,Con,,,gesellschaftliche Probleme,,KI /verursacht gesellschaftliche Probleme,KI verursacht gesellschaftliche Probleme,KI verursacht gesellschaftliche Probleme,,,
9,NZ.G1,NZ,,,,Szenario Missverstanden,,,Das geäußerte Argument passt nicht zum definierten Szenario,Das geäußerte Argument passt nicht zum definierten Szenario,,,
10,NZ.G2,NZ,,,,Im Szenario enthalten,,,Das geäußerte Argument ist bereits im Szenario enthalten.,Das geäußerte Argument ist bereits im Szenario enthalten.,,,
11,NZ.G3,NZ,,,,Nicht ethisches Argument,,,Das geäußerte Argument thematisiert nicht die ethische Problematik des Themas,Das geäußerte Argument thematisiert nicht die ethische Problematik des Themas,,,
12,FAQ.G1,FAQ,,,,faq gruppe,,,"Die Aussage behandelt einen Aspekt, der im FAQ Teil thematisiert wird.","Die Aussage behandelt einen Aspekt, der im FAQ Teil thematisiert wird.",,,
