total_dialogues,total_user_utterances,total_bot_utterances,avg_words,avg_utterances_total,avg_utterances_user,avg_utterances_bot,avg_distinct_args,avg_distinct_args_user,avg_distinct_args_bot,perc_wf,perc_uf,perc_faq,perc_other,study,topic,bot_type
62,519,519,12.021194605009635,16.741935483870968,8.370967741935484,8.370967741935484,8.919354838709678,3.6451612903225805,6.564516129032258,0.5895953757225434,0.10789980732177264,0.04431599229287091,0.26204238921001927,202301,MEDAI,bot
90,834,834,11.053956834532373,18.533333333333335,9.266666666666667,9.266666666666667,8.911111111111111,4.266666666666667,5.3,0.7050359712230215,0.06235011990407674,0.004796163069544364,0.2290167865707434,202301,AUTOAI,bot
26,203,203,13.182266009852217,15.615384615384615,7.8076923076923075,7.8076923076923075,12.153846153846153,4.076923076923077,9.423076923076923,0.6699507389162561,0.059113300492610835,0.014778325123152709,0.26108374384236455,202301,JURAI,bot
82,534,533,13.97378277153558,13.012195121951219,6.512195121951219,6.5,11.902439024390244,4.048780487804878,10.329268292682928,0.6104868913857678,0.1404494382022472,0.0599250936329588,0.20411985018726592,202307,MEDAI,bot
58,428,427,12.588785046728972,14.741379310344827,7.379310344827586,7.362068965517241,11.310344827586206,4.982758620689655,9.586206896551724,0.7616822429906542,0.04205607476635514,0.007009345794392523,0.19158878504672897,202307,AUTOAI,bot
33,227,226,13.370044052863436,13.727272727272727,6.878787878787879,6.848484848484849,9.606060606060606,4.575757575757576,8.212121212121213,0.7841409691629956,0.039647577092511016,0.022026431718061675,0.15418502202643172,202307,JURAI,bot
27,135,135,9.222222222222221,10.0,5.0,5.0,6.185185185185185,3.111111111111111,4.814814814814815,0.6888888888888889,0.022222222222222223,0.037037037037037035,0.25925925925925924,202307,REFAI,bot
51,297,297,12.2996632996633,11.647058823529411,5.823529411764706,5.823529411764706,11.333333333333334,3.9215686274509802,9.784313725490197,0.6296296296296297,0.11784511784511785,0.026936026936026935,0.23905723905723905,202402,MEDAI,EthiBot
51,317,315,14.810725552050473,12.392156862745098,6.215686274509804,6.176470588235294,9.529411764705882,4.098039215686274,6.8431372549019605,0.5425867507886435,0.19242902208201892,0.0473186119873817,0.2302839116719243,202402,MEDAI,GenBot
53,329,329,14.142857142857142,12.415094339622641,6.2075471698113205,6.2075471698113205,9.415094339622641,3.9622641509433962,6.433962264150943,0.5319148936170213,0.1519756838905775,0.06990881458966565,0.2674772036474164,202402,MEDAI,RAGBot
