label,test,train,validation
Z.P2,2.0,11.0,3.0
Z.K5,2.0,9.0,2.0
Z.K1,1.0,4.0,0.0
Z.K9,2.0,4.0,0.0
Z.K8,1.0,3.0,0.0
Z.P5,2.0,3.0,0.0
Z.P3,1.0,2.0,0.0
Z.P6,1.0,2.0,1.0
Z.K4,1.0,2.0,0.0
Z.K3,2.0,2.0,1.0
Z.K1-1,1.0,2.0,0.0
Z.P2-2,0.0,1.0,0.0
Z.P4,1.0,1.0,0.0
Z.P8,0.0,1.0,0.0
Z.P3-3-1,1.0,1.0,0.0
Z.P9,1.0,1.0,0.0
Z.P3-3,1.0,1.0,0.0
Z.P3-1,0.0,1.0,0.0
FAQ.2,1.0,1.0,0.0
Z.P1,2.0,1.0,2.0
Z.P11,0.0,1.0,0.0
Z.P1-3-1,1.0,1.0,0.0
NZ.K10,0.0,1.0,0.0
Z.K8-1,0.0,1.0,0.0
Z.K7,0.0,1.0,0.0
Z.K6,1.0,1.0,0.0
Z.K5-1,0.0,1.0,0.0
Z.K2,1.0,1.0,0.0
Z.K1-1-1-1,0.0,1.0,0.0
Z.P9-1,0.0,1.0,0.0
